name,author,url,thumbUrl
Inspiring Yearning,Flawed Koncepts,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/Inspiring_Yearning-Flawed_Koncepts.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/thumbnails/thumbnail_Inspiring_Yearning-Flawed_Koncepts.jpg
Joyful Merriment,Flawed Koncepts,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/Joyful_Merriment-Flawed_Koncepts.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/thumbnails/thumbnail_Joyful_Merriment-Flawed_Koncepts.jpg
Loyal Comradeship,Flawed Koncepts,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/Loyal_Comradeship-Flawed_Koncepts.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/thumbnails/thumbnail_Loyal_Comradeship-Flawed_Koncepts.jpg
Meaningful Rapport,Flawed Koncepts,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/Meaningful_Rapport-Flawed_Koncepts.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/thumbnails/thumbnail_Meaningful_Rapport-Flawed_Koncepts.jpg
Natural Serenity,Flawed Koncepts,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/Natural_Serenity-Flawed_Koncepts.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/thumbnails/thumbnail_Natural_Serenity-Flawed_Koncepts.jpg
Peaceful Tranquility,Flawed Koncepts,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/Peaceful_Tranquility-Flawed_Koncepts.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/thumbnails/thumbnail_Peaceful_Tranquility-Flawed_Koncepts.jpg
Perfect Equilibrium,Flawed Koncepts,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/Perfect_Equilibrium-Flawed_Koncepts.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/thumbnails/thumbnail_Perfect_Equilibrium-Flawed_Koncepts.jpg
Positive Vitality,Flawed Koncepts,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/Positive_Vitality-Flawed_Koncepts.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/thumbnails/thumbnail_Positive_Vitality-Flawed_Koncepts.jpg
Productive Concord,Flawed Koncepts,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/Productive_Concord-Flawed_Koncepts.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/thumbnails/thumbnail_Productive_Concord-Flawed_Koncepts.jpg
Pure Jubilation,Flawed Koncepts,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/Pure_Jubilation-Flawed_Koncepts.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/imperfekt/wallpapers/thumbnails/thumbnail_Pure_Jubilation-Flawed_Koncepts.jpg
