name,author,url,thumbUrl
Green and Blue Light,Codioful,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Green_and_Blue_Light-Codioful.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Green_and_Blue_Light-Codioful.jpg
Green Background,Pawel Czerwinski,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Green_Background-Pawel_Czerwinski.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Green_Background-Pawel_Czerwinski.jpg
Green Painted Wall,Jené Stephaniuk,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Green_Painted_Wall-Jené_Stephaniuk.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Green_Painted_Wall-Jené_Stephaniuk.jpg
Handletter,Anna Tarazevich,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Handletter-Anna_Tarazevich.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Handletter-Anna_Tarazevich.jpg
Jeremejevite,Jeremejevite,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Jeremejevite.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Jeremejevite.jpg
Larimar,Larimar,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Larimar.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Larimar.jpg
Layers Colorful Ripped Papers,Image by Freepik,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Layers_Colorful_Ripped_Papers-Image_by_Freepik.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Layers_Colorful_Ripped_Papers-Image_by_Freepik.jpg
Lollipop in Blue Plate,Mae Mu,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Lollipop_in_Blue_Plate-Mae_Mu.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Lollipop_in_Blue_Plate-Mae_Mu.jpg
Low Angle,Jason Briscoe,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Low_Angle-Jason_Briscoe.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Low_Angle-Jason_Briscoe.jpg
Multicolored Abstract,Geordanna Cordero,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Multicolored_Abstract-Geordanna_Cordero.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Multicolored_Abstract-Geordanna_Cordero.jpg
Musgravite,Musgravite,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Musgravite.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Musgravite.jpg
Origami 3D,Joao Paulino,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Origami_3D-Joao_Paulino.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Origami_3D-Joao_Paulino.jpg
Painite,Painite,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Painite.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Painite.jpg
Paraíba Tourmaline,Paraíba Tourmaline,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Paraíba Tourmaline.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Paraíba Tourmaline.jpg
Pink and Blue Abstract,Pawel Czerwinski,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Pink_and_Blue_Abstract-Pawel_Czerwinski.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Pink_and_Blue_Abstract-Pawel_Czerwinski.jpg
Pink and Blue Sky,eberhard grossgasteiger,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Pink_and_Blue_Sky-eberhard_grossgasteiger.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Pink_and_Blue_Sky-eberhard_grossgasteiger.jpg
Pink Flower Petals,Pawel Czerwinski,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Pink_Flower_Petals-Pawel_Czerwinski.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Pink_Flower_Petals-Pawel_Czerwinski.jpg
Pink Ring,Neeqolah Creative Works,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Pink_Ring-Neeqolah_Creative_Works.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Pink_Ring-Neeqolah_Creative_Works.jpg
Pink Wall Paint,nic chi,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Pink_Wall_Paint-nic_chi.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Pink_Wall_Paint-nic_chi.jpg
Pink Wall Paint,Renee Lin,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Pink_Wall_Paint-Renee_Lin.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Pink_Wall_Paint-Renee_Lin.jpg
Poudretteite,Poudretteite,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Poudretteite.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Poudretteite.jpg
Red and White Abstract,J Lee,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Red_and_White_Abstract-J_Lee.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Red_and_White_Abstract-J_Lee.jpg
Ripped Paper Edges Arrangement,Image by Freepik,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Ripped_Paper_Edges_Arrangement-Image_by_Freepik.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Ripped_Paper_Edges_Arrangement-Image_by_Freepik.jpg
Round Blue Object,Neeqolah Creative Works,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Round_Blue_Object-Neeqolah_Creative_Works.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Round_Blue_Object-Neeqolah_Creative_Works.jpg
Serendibite,Serendibite,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Serendibite.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Serendibite.jpg
Silhouette of Mountain,eberhard grossgasteiger,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Silhouette_of_Mountain-eberhard_grossgasteiger.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Silhouette_of_Mountain-eberhard_grossgasteiger.jpg
Single Pink Carnation,Neeqolah Creative Works,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Single_Pink_Carnation-Neeqolah_Creative_Works.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Single_Pink_Carnation-Neeqolah_Creative_Works.jpg
Soft Blue,Totally ImaGINAble Creations,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Soft_Blue-Totally_ImaGINAble_Creations.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Soft_Blue-Totally_ImaGINAble_Creations.jpg
Squishy Fluffy Balls,Totally ImaGINAble Creations,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Squishy_Fluffy_Balls-Totally_ImaGINAble_Creations.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Squishy_Fluffy_Balls-Totally_ImaGINAble_Creations.jpg
Taaffeite,Taaffeite,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Taaffeite.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Taaffeite.jpg
Tanzanite,Flawed Koncepts,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Tanzanite-Flawed_Koncepts.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Tanzanite-Flawed_Koncepts.jpg
Three Doughnuts,Neeqolah Creative Works,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Three_Doughnuts-Neeqolah_Creative_Works.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Three_Doughnuts-Neeqolah_Creative_Works.jpg
Trapiche Emerald,Trapiche Emerald,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/Trapiche Emerald.jpg,https://raw.githubusercontent.com/joryllrobert/dotfiles/main/wallpapers/thumbnails/thumbnail_Trapiche Emerald.jpg
